 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Real-time                                    |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2022-03-07                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2022-01-22 20:00:00.000 022       -15.00
2022-01-22 21:00:00.000 022       -17.00
2022-01-22 22:00:00.000 022       -15.00
2022-01-22 23:00:00.000 022       -12.00
2022-01-23 00:00:00.000 023       -12.00
2022-01-23 01:00:00.000 023       -14.00
2022-01-23 02:00:00.000 023       -18.00
2022-01-23 03:00:00.000 023       -18.00
2022-01-23 04:00:00.000 023       -18.00
2022-01-23 05:00:00.000 023       -22.00
2022-01-23 06:00:00.000 023       -22.00
2022-01-23 07:00:00.000 023       -19.00
2022-01-23 08:00:00.000 023       -20.00
2022-01-23 09:00:00.000 023       -19.00
2022-01-23 10:00:00.000 023       -21.00
2022-01-23 11:00:00.000 023       -25.00
2022-01-23 12:00:00.000 023       -21.00
2022-01-23 13:00:00.000 023       -17.00
2022-01-23 14:00:00.000 023       -16.00
2022-01-23 15:00:00.000 023       -14.00
2022-01-23 16:00:00.000 023       -15.00
2022-01-23 17:00:00.000 023       -15.00
2022-01-23 18:00:00.000 023       -13.00
2022-01-23 19:00:00.000 023        -9.00
2022-01-23 20:00:00.000 023        -5.00
2022-01-23 21:00:00.000 023        -5.00
2022-01-23 22:00:00.000 023        -4.00
2022-01-23 23:00:00.000 023        -4.00
2022-01-24 00:00:00.000 024        -3.00
2022-01-24 01:00:00.000 024        -1.00
2022-01-24 02:00:00.000 024         1.00
2022-01-24 03:00:00.000 024         0.00
2022-01-24 04:00:00.000 024        -2.00
2022-01-24 05:00:00.000 024        -2.00
2022-01-24 06:00:00.000 024        -4.00
2022-01-24 07:00:00.000 024        -3.00
2022-01-24 08:00:00.000 024        -3.00
2022-01-24 09:00:00.000 024        -1.00
