 Format                 IAGA-2002                                    |
 Source of Data         Instituto Geografico Nacional (Spain)        |
 Station Name           Guimar - Tenerife                            |
 IAGA Code              GUI                                          |
 Geodetic Latitude      28.317                                       |
 Geodetic Longitude     343.560                                      |
 Elevation              868                                          |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.0078125 seconds                            |
 Data Interval Type     Filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # INTERMAGNET Gaussian filter applied for 1-second data             |
 # This data file was created using INTERMAGNET data from Paris GIN. |
 # Final data will be available on the INTERMAGNET DVD.              |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     GUIX      GUIY      GUIZ      GUIF   |
2022-01-15 03:03:00.000 015     27626.93  -3094.11  22529.65  35958.67
2022-01-15 03:04:00.000 015     27626.82  -3094.20  22529.38  35958.44
2022-01-15 03:05:00.000 015     27626.50  -3094.30  22529.18  35958.05
2022-01-15 03:06:00.000 015     27626.00  -3094.37  22528.89  35957.53
2022-01-15 03:07:00.000 015     27625.71  -3094.39  22528.72  35957.20
2022-01-15 03:08:00.000 015     27625.60  -3094.41  22528.56  35956.99
2022-01-15 03:09:00.000 015     27625.20  -3094.49  22528.36  35956.58
2022-01-15 03:10:00.000 015     27624.95  -3094.64  22528.20  35956.28
2022-01-15 03:11:00.000 015     27624.80  -3094.92  22528.11  35956.15
2022-01-15 03:12:00.000 015     27624.72  -3095.32  22528.09  35956.05
2022-01-15 03:13:00.000 015     27624.51  -3095.70  22528.07  35955.92
2022-01-15 03:14:00.000 015     27624.39  -3096.18  22528.07  35955.88
2022-01-15 03:15:00.000 015     27624.08  -3096.75  22528.06  35955.71
2022-01-15 03:16:00.000 015     27624.03  -3097.34  22528.14  35955.70
2022-01-15 03:17:00.000 015     27624.08  -3097.84  22528.23  35955.81
2022-01-15 03:18:00.000 015     27623.93  -3098.17  22528.22  35955.76
2022-01-15 03:19:00.000 015     27623.97  -3098.44  22528.08  35955.75
2022-01-15 03:20:00.000 015     27623.76  -3098.47  22527.95  35955.49
2022-01-15 03:21:00.000 015     27623.67  -3098.37  22527.77  35955.34
2022-01-15 03:22:00.000 015     27623.73  -3098.48  22527.66  35955.31
2022-01-15 03:23:00.000 015     27623.70  -3098.89  22527.67  35955.29
2022-01-15 03:24:00.000 015     27623.77  -3099.10  22527.59  35955.30
2022-01-15 03:25:00.000 015     27623.73  -3099.08  22527.46  35955.19
2022-01-15 03:26:00.000 015     27623.62  -3099.11  22527.34  35955.02
2022-01-15 03:27:00.000 015     27623.68  -3099.13  22527.22  35955.00
2022-01-15 03:28:00.000 015     27623.65  -3099.50  22527.20  35954.99
2022-01-15 03:29:00.000 015     27623.54  -3099.75  22527.11  35954.88
2022-01-15 03:30:00.000 015     27623.69  -3100.17  22527.17  35955.07
2022-01-15 03:31:00.000 015     27623.85  -3100.40  22527.17  35955.21
2022-01-15 03:32:00.000 015     27624.02  -3100.68  22527.23  35955.36
2022-01-15 03:33:00.000 015     27624.02  -3101.16  22527.27  35955.45
2022-01-15 03:34:00.000 015     27624.18  -3101.83  22527.42  35955.66
2022-01-15 03:35:00.000 015     27624.48  -3102.44  22527.58  35956.05
2022-01-15 03:36:00.000 015     27624.60  -3102.83  22527.64  35956.19
2022-01-15 03:37:00.000 015     27624.56  -3103.08  22527.56  35956.15
2022-01-15 03:38:00.000 015     27624.52  -3103.18  22527.48  35956.09
2022-01-15 03:39:00.000 015     27623.99  -3103.56  22527.36  35955.64
2022-01-15 03:40:00.000 015     27623.98  -3103.54  22527.22  35955.58
2022-01-15 03:41:00.000 015     27624.19  -3103.62  22527.20  35955.72
2022-01-15 03:42:00.000 015     27623.40  -3104.15  22527.14  35955.13
2022-01-15 03:43:00.000 015     27622.88  -3104.34  22526.96  35954.62
2022-01-15 03:44:00.000 015     27622.73  -3104.70  22526.93  35954.52
2022-01-15 03:45:00.000 015     27622.76  -3105.06  22526.94  35954.52
2022-01-15 03:46:00.000 015     27622.76  -3105.23  22526.90  35954.53
2022-01-15 03:47:00.000 015     27623.09  -3105.37  22526.86  35954.78
2022-01-15 03:48:00.000 015     27623.07  -3105.69  22526.84  35954.79
2022-01-15 03:49:00.000 015     27622.88  -3105.97  22526.80  35954.65
2022-01-15 03:50:00.000 015     27622.85  -3106.24  22526.78  35954.61
2022-01-15 03:51:00.000 015     27622.89  -3106.47  22526.76  35954.65
2022-01-15 03:52:00.000 015     27622.92  -3106.92  22526.78  35954.70
2022-01-15 03:53:00.000 015     27622.86  -3107.29  22526.76  35954.68
2022-01-15 03:54:00.000 015     27622.49  -3107.26  22526.65  35954.29
2022-01-15 03:55:00.000 015     27622.15  -3107.01  22526.40  35953.87
2022-01-15 03:56:00.000 015     27621.84  -3106.84  22526.18  35953.46
2022-01-15 03:57:00.000 015     27621.72  -3106.91  22526.05  35953.27
2022-01-15 03:58:00.000 015     27621.76  -3107.00  22526.00  35953.30
2022-01-15 03:59:00.000 015     27621.90  -3107.02  22525.89  35953.40
2022-01-15 04:00:00.000 015     27622.06  -3107.21  22525.90  35953.54
2022-01-15 04:01:00.000 015     27622.10  -3107.37  22525.89  35953.55
2022-01-15 04:02:00.000 015     27622.17  -3107.43  22525.85  35953.55
2022-01-15 04:03:00.000 015     27622.34  -3107.62  22525.84  35953.72
2022-01-15 04:04:00.000 015     27622.37  -3107.85  22525.88  35953.80
2022-01-15 04:05:00.000 015     27622.45  -3107.96  22525.83  35953.81
2022-01-15 04:06:00.000 015     27622.40  -3108.09  22525.78  35953.79
2022-01-15 04:07:00.000 015     27622.21  -3107.89  22525.59  35953.50
2022-01-15 04:08:00.000 015     27621.96  -3107.53  22525.38  35953.14
